0,"groupesd’âges",,Effectifs,,
1,,Masculin,Féminin,Ensemble,
2,00 - 04,959,713,1 672,
3,05 - 09,1 853,1 289,3 142,
4,10 - 14,2 542,1 929,4 471,
5,15 - 19,3 215,2 331,5 546,
6,20 - 24,3 683,2 575,6 258,
7,25 - 29,3 572,2 923,6 495,
8,30 - 34,3 644,3 231,6 875,
9,35 - 39,3 905,3 944,7 849,
10,40 - 44,5 139,5 557,10 696,
11,45 - 49,6 095,6 517,12 612,
12,50 - 54,7 665,8 446,16 111,
13,55 - 59,6 707,8 394,15 101,
14,60 - 64,7 884,12 146,20 030,
15,65 - 69,8 064,11 084,19 148,
16,70 - 74,8 992,13 113,22 105,
17,75 ans & +,15 729,19 659,35 388,
18,ND,162,187,349,
