0,"groupesd’âges",,Effectifs,,
1,,Masculin,Féminin,Ensemble,
2,00 - 04,1 083,806,1 889,
3,05 - 09,3 424,2 569,5 993,
4,10 - 14,5 851,3 971,9 822,
5,15 - 19,6 950,4 310,11 260,
6,20 - 24,8 978,4 496,13 474,
7,25 - 29,9 644,3 947,13 591,
8,30 - 34,10 407,3 892,14 299,
9,35 - 39,9 390,3 414,12 804,
10,40 - 44,9 871,3 524,13 395,
11,45 - 49,6 910,2 311,9 221,
12,50 - 54,4 468,2 041,6 509,
13,55 - 59,1 897,1 033,2 930,
14,60 - 64,1 615,1 226,2 841,
15,65 - 69,992,827,1 819,
16,70 - 74,992,1 046,2 038,
17,75 ans & +,1 432,1 698,3 130,
18,ND,86,50,136,
