0,"groupesd’âges",,Effectifs,,
1,,Masculin,Féminin,Ensemble,
2,00 - 04,3 091,2 369,5 460,
3,05 - 09,5 017,3 655,8 672,
4,10 - 14,6 056,4 393,10 449,
5,15 - 19,6 772,4 420,11 192,
6,20 - 24,7 700,5 011,12 711,
7,25 - 29,8 203,5 144,13 347,
8,30 - 34,8 539,5 683,14 222,
9,35 - 39,7 983,4 986,12 969,
10,40 - 44,8 602,5 202,13 804,
11,45 - 49,7 977,4 114,12 091,
12,50 - 54,7 683,3 979,11 662,
13,55 - 59,5 605,2 974,8 579,
14,60 - 64,6 245,4 207,10 452,
15,65 - 69,5 411,3 890,9 301,
16,70 - 74,6 289,5 286,11 575,
17,75 ans & +,10 513,9 514,20 027,
18,ND,168,114,282,
