0,"groupesd’âges",,Effectifs,,
1,,Masculin,Féminin,Ensemble,
2,00 - 04,1 677,1 422,3 099,
3,05 - 09,5 247,3 884,9 131,
4,10 - 14,6 550,4 722,11 272,
5,15 - 19,6 002,4 285,10 287,
6,20 - 24,5 458,4 026,9 484,
7,25 - 29,4 510,3 315,7 825,
8,30 - 34,4 253,3 196,7 449,
9,35 - 39,4 308,3 127,7 435,
10,40 - 44,4 661,3 352,8 013,
11,45 - 49,4 451,2 792,7 243,
12,50 - 54,4 958,3 333,8 291,
13,55 - 59,4 394,2 714,7 108,
14,60 - 64,5 740,5 076,10 816,
15,65 - 69,6 194,4 465,10 659,
16,70 - 74,8 460,7 491,15 951,
17,75 ans & +,18 781,15 778,34 559,
18,ND,228,156,384,
